hub,platform,url,region_state,notes
Iron Range TV Cablecast,cablecast_remix,https://reflect-ictv.cablecast.tv/,MN,"Confirmed live 2026-09-24: one Remix tenant, no otherSites -- towns/bodies are separate site.galleries (Cohasset City Council gallery 54, Nashwauk City Council gallery 49, Grand Rapids [City Council/Work Session/EDA/Planning/Public Utilities], Grand Village Board, Harris Township, Itasca County Board, LaPrairie City Council). Nashwauk and Cohasset are DISTINCT galleries with their own real shows -- the finds.json row that filed a Cohasset show under Nashwauk's gov_id was picking the wrong gallery, not a missing one."
North Metro TV TRMS Cablecast,cablecast_remix,https://trms.northmetrotv.com/internetchannel/?site=2,MN,"Confirmed live 2026-09-24: bare https://trms.northmetrotv.com/ 302s to an ASP.NET /FrontDoor/ login page (NOT the public site) -- the real public Remix entry point is /internetchannel/?site=N. site.otherSites gives the full section list: 1=NMTV, 2=Public Access Channel, 4=Blaine City Channel, 5=Centerville City Channel, 6=Circle Pines City Channel, 7=Ham Lake City Channel, 8=Lexington City Channel, 9=Lino Lakes City Channel, 10=Spring Lake Park City Channel."
Centre County C-NET,telvue,https://videoplayer.telvue.com/player/GNduNoua2rBThhw6N4PRP9OCSPf6B2ru/home,PA,"Org token confirmed (WO-310 pinned playlist 4806 = Bellefonte borough Council). /home lists every playlist (category) as its own card with a title and newest media link -- confirmed live 2026-09-24: College Township Council, College Township Planning Commission, Halfmoon Township Board of Supervisors, Ferguson Township Board of Supervisors, Ferguson Township Planning Commission, Harris Township Board of Supervisors, Harris Township Planning Commission, Patton Township Board of Supervisors, Patton Township Planning Commission, Borough of State College - Council, and non-government playlists (Around the County, C-NET, etc.)."
Campbell County KY Cablecast,cablecast_remix,https://reflect-campbellcounty.cablecast.tv/internetchannel/?site=1,KY,"Confirmed live 2026-09-24: bare root 302s to /FrontDoor/ (login page); public entry point is /internetchannel/?site=1, real site title 'CGOV' (Campbell County Government Television). Site enumeration (otherSites) and Wilder's own gallery/site still need to be walked by the harvester at run time."
Town Square TV,cablecast_remix,https://reflect-tst-mn.cablecast.tv/,MN,"Cablecast Connect (WordPress) wrapper is townsquare.tv; the real backing Remix tenant is this reflect host (WO-336, confirmed 2026-09-13): site=6 Inver Grove Heights, 8 Mendota Heights, 13 South St. Paul, 15 West St. Paul. Harvested directly against the reflect host, not the WordPress wrapper -- the wrapper's own wp-json API (recent-shows/popular-shows/live-schedule) has no site/category listing endpoint."
TVCTV,cablecast_publicsite,https://reflect-tvctv.cablecast.tv/CablecastPublicSite/,OR,"Confirmed live 2026-09-24 from tvctv.org's own nav: reflect-tvctv.cablecast.tv is the CablecastPublicSite (Ember/FastBoot) template, site index 'Our Channels' site=1,2,3,5 and 'Government' site=6,7. This template's real show data is client-rendered JS with no confirmed per-site/per-category newest-show API path yet (cablecastapi/v1/shows ignores a site= filter; cablecastapi/v1/categories returns one shared, non-per-government list) -- hand-read only until that gap is closed."
Dakota Media Access,cablecast_remix,https://reflect-dakotamediaaccess.cablecast.tv/internetchannel/?site=1,ND,"Bismarck ND already confirmed via Cablecast Connect embed (cablecast.py module note). Bare root 302s to /FrontDoor/; public entry point is /internetchannel/?site=1, confirmed live 2026-09-24. Site enumeration (Lincoln ND and others) done at run time via otherSites."
Miami Valley Communications Council,cablecast_remix,https://vod.mvcc.video/internetchannel/?site=1,OH,"Confirmed live 2026-09-24: bare root 302s to /FrontDoor/; public entry point is /internetchannel/?site=1. Germantown OH and other member governments enumerated at run time via otherSites."
Harbor Media,cablecast_remix,https://reflect-harbor-media.cablecast.tv/internetchannel/?site=2,MA,"Confirmed live 2026-09-24 from harbormedia.org's own embeds (WO-1036-style watch-vod-embed links): host is reflect-harbor-media.cablecast.tv (hyphenated -- not the bare 'harbormedia' guess). site=2 ('Harbor Media's Government Programming') carries Hingham's real bodies as galleries: Hingham Select Board (gallery 81), Hingham's Government Content, Hingham Municipal Lighting Plant, Hingham Unity Council -- single-town hub (Hingham, MA), not multi-government."
Montague Community Television,vimeo,https://vimeo.com/mctvchannel17,MA,"Corrects the CLAUDE.md working-conventions guess that this is a Cablecast hub -- confirmed live 2026-09-24 from montaguetv.org's own embeds: the real backing platform is Vimeo (channel mctvchannel17), not Cablecast (no reflect-montague* host exists). Single-town channel (Montague, MA); Vimeo is already a confirmed MULTI_GOV_HOSTS entry, but this channel is dedicated to one government, so it is recorded and matched, not blanket-pinned."
Pierce County TV,youtube_hub,https://www.piercecountytv.org/,WA,"YouTube channel piercecountytv -- YOUTUBE-DRIP-ONLY, never fetched from this script or any script off the drip Mac. Per-government section pages confirmed live 2026-09-24 from the site's own (non-YouTube) nav: /91/City-of-DuPont, /94/City-of-Fife, /97/City-of-Orting, /100/Pierce-County-Council, /103/City-of-Puyallup, /106/Rainier-Communications-Commission, /108/City-of-Sumner, /111/City-of-University-Place, /1317/Tacoma-Pierce-County-Health-Department. Each page's own 'newest meeting' video is reached through a further, JS-driven Meetings widget on piercecountytv.org itself (not YouTube) that this pass did not walk -- recorded as a lead per government, newest-meeting fields left blank rather than guessed."
